Details of Training:-----------------------
dataset: HAR
local train epochs: 3
round num: 200
batch size: 16
lr: 0.05
use_client_selection: False
server_device: cuda:0
client_workers: 3
client_worker_devices: ['cuda:0', 'cuda:0', 'cuda:0']
client_groups: [[0], [1], [2]]
-------------------------------------------
HAR_scaffold_dir0.1
PID: 3612693
PPID: 3610383
ablation:  UseACF: false  UseDistribution: false  UseJointCL: false  UseJointKD: false  UseMTLHomo: false  UseProdictor: false  UseScaleCL: false  UseScaleKD: falsealgo: scaffolddataset: CharacterTrajectoriesdescription: HAR_scaffold_dir0.1federated:  auto_resume: true  checkpoint_every: 30  client_selection_ratio: 0.6  dirichlet_alpha: 1  numClient: 3  numEpoch: 3  numRound: 200  use_client_selection: falselogPath: ./result/model:  name: ''  params:    batch_size: 16    beta: 0.4    dist_measure: mix    gamma: 0.5    l: 0.01    lr: 0.05    ls: 1    momentum: 0.0    wd: 0scaffold:  global_lr: 1.0
dataset: HARround:0 server aggregation  testACC:0.9267051238547676 trainACC:0.997449413365074 avg_loss:nan
dataset: HARround:1 server aggregation  testACC:0.9311163895486936 trainACC:0.9969392960380887 avg_loss:nan
dataset: HARround:2 server aggregation  testACC:0.9334916864608076 trainACC:0.9967692569290937 avg_loss:nan
dataset: HARround:3 server aggregation  testACC:0.9314557176789956 trainACC:1.0 avg_loss:nan
dataset: HARround:4 server aggregation  testACC:0.9321343739395996 trainACC:0.9945587485121578 avg_loss:nan
dataset: HARround:5 server aggregation  testACC:0.9307770614183916 trainACC:1.0 avg_loss:nan
dataset: HARround:6 server aggregation  testACC:0.9280624363759755 trainACC:1.0 avg_loss:nan
dataset: HARround:7 server aggregation  testACC:0.9294197488971836 trainACC:1.0 avg_loss:nan
dataset: HARround:8 server aggregation  testACC:0.9287410926365796 trainACC:1.0 avg_loss:nan
dataset: HARround:9 server aggregation  testACC:0.9287410926365796 trainACC:1.0 avg_loss:nan
dataset: HARround:10 server aggregation  testACC:0.9304377332880895 trainACC:1.0 avg_loss:nan
dataset: HARround:11 server aggregation  testACC:0.9328130302002036 trainACC:1.0 avg_loss:nan
dataset: HARround:12 server aggregation  testACC:0.9392602646759416 trainACC:0.9938785920761776 avg_loss:nan
dataset: HARround:13 server aggregation  testACC:0.9389209365456397 trainACC:0.9942186702941677 avg_loss:nan
dataset: HARround:14 server aggregation  testACC:0.9328130302002036 trainACC:1.0 avg_loss:nan
dataset: HARround:15 server aggregation  testACC:0.9328130302002036 trainACC:1.0 avg_loss:nan
dataset: HARround:16 server aggregation  testACC:0.9351883271123176 trainACC:1.0 avg_loss:nan
dataset: HARround:17 server aggregation  testACC:0.9362063115032236 trainACC:1.0 avg_loss:nan
dataset: HARround:18 server aggregation  testACC:0.9328130302002036 trainACC:1.0 avg_loss:nan
dataset: HARround:19 server aggregation  testACC:0.9372242958941296 trainACC:0.9928583574222071 avg_loss:nan
dataset: HARround:20 server aggregation  testACC:0.9334916864608076 trainACC:1.0 avg_loss:nan
dataset: HARround:21 server aggregation  testACC:0.9341703427214116 trainACC:1.0 avg_loss:nan
dataset: HARround:22 server aggregation  testACC:0.9314557176789956 trainACC:1.0 avg_loss:nan
dataset: HARround:23 server aggregation  testACC:0.9317950458092976 trainACC:1.0 avg_loss:nan
dataset: HARround:24 server aggregation  testACC:0.9355276552426196 trainACC:1.0 avg_loss:nan
dataset: HARround:25 server aggregation  testACC:0.9338310145911096 trainACC:1.0 avg_loss:nan
dataset: HARround:26 server aggregation  testACC:0.9331523583305056 trainACC:1.0 avg_loss:nan
dataset: HARround:27 server aggregation  testACC:0.9341703427214116 trainACC:1.0 avg_loss:nan
dataset: HARround:28 server aggregation  testACC:0.9348489989820156 trainACC:0.9940486311851726 avg_loss:nan
dataset: HARround:29 server aggregation  testACC:0.9324737020699015 trainACC:1.0 avg_loss:nan
