Details of Training:-----------------------
dataset: HAR
local train epochs:5
round num:500
batch size:256
lr:0.05
isAllocateMat:False
isEMA:False
-------------------------------------------
AVG+selection
PID:1946928
PPID:3888362
ablation:  UseACF: false  UseDistribution: false  UseJointCL: false  UseJointKD: false  UseMTLHomo: false  UseProdictor: false  UseScaleCL: false  UseScaleKD: falsealgo: fedavgdataset: CharacterTrajectoriesdescription: AVG+selectionfederated:  dirichlet_alpha: 0.01  numClient: 6  numEpoch: 5  numRound: 500logPath: ./result/model:  name: ''  params:    batch_size: 256    beta: 0.4    dist_measure: mix    gamma: 0.5    l: 0.01    lr: 0.05    ls: 1    wd: 0
dataset: HARround:59 server aggregation  testACC:0.9219545300305395 trainACC:1.0 avg_loss:nan
dataset: HARround:60 server aggregation  testACC:0.9222938581608415 trainACC:1.0 avg_loss:nan
dataset: HARround:61 server aggregation  testACC:0.9212758737699356 trainACC:0.999829960891005 avg_loss:nan
dataset: HARround:62 server aggregation  testACC:0.9222938581608415 trainACC:0.999829960891005 avg_loss:nan
dataset: HARround:63 server aggregation  testACC:0.9219545300305395 trainACC:1.0 avg_loss:nan
dataset: HARround:64 server aggregation  testACC:0.9222938581608415 trainACC:1.0 avg_loss:nan
dataset: HARround:65 server aggregation  testACC:0.9222938581608415 trainACC:1.0 avg_loss:nan
dataset: HARround:66 server aggregation  testACC:0.9222938581608415 trainACC:1.0 avg_loss:nan
dataset: HARround:67 server aggregation  testACC:0.9226331862911435 trainACC:1.0 avg_loss:nan
dataset: HARround:68 server aggregation  testACC:0.9229725144214456 trainACC:1.0 avg_loss:nan
dataset: HARround:69 server aggregation  testACC:0.9226331862911435 trainACC:1.0 avg_loss:nan
dataset: HARround:70 server aggregation  testACC:0.9233118425517476 trainACC:1.0 avg_loss:nan
dataset: HARround:71 server aggregation  testACC:0.9239904988123515 trainACC:1.0 avg_loss:nan
dataset: HARround:72 server aggregation  testACC:0.9239904988123515 trainACC:1.0 avg_loss:nan
dataset: HARround:73 server aggregation  testACC:0.9229725144214456 trainACC:1.0 avg_loss:nan
dataset: HARround:74 server aggregation  testACC:0.9219545300305395 trainACC:0.999829960891005 avg_loss:nan
dataset: HARround:75 server aggregation  testACC:0.9233118425517476 trainACC:0.999829960891005 avg_loss:nan
dataset: HARround:76 server aggregation  testACC:0.9236511706820495 trainACC:0.999829960891005 avg_loss:nan
dataset: HARround:77 server aggregation  testACC:0.9236511706820495 trainACC:1.0 avg_loss:nan
dataset: HARround:78 server aggregation  testACC:0.9229725144214456 trainACC:0.999829960891005 avg_loss:nan
dataset: HARround:79 server aggregation  testACC:0.9243298269426535 trainACC:0.999829960891005 avg_loss:nan
dataset: HARround:80 server aggregation  testACC:0.9243298269426535 trainACC:0.999829960891005 avg_loss:nan
dataset: HARround:81 server aggregation  testACC:0.9253478113335596 trainACC:1.0 avg_loss:nan
dataset: HARround:82 server aggregation  testACC:0.9239904988123515 trainACC:1.0 avg_loss:nan
dataset: HARround:83 server aggregation  testACC:0.9246691550729556 trainACC:1.0 avg_loss:nan
dataset: HARround:84 server aggregation  testACC:0.9243298269426535 trainACC:1.0 avg_loss:nan
dataset: HARround:85 server aggregation  testACC:0.9239904988123515 trainACC:1.0 avg_loss:nan
dataset: HARround:86 server aggregation  testACC:0.9263657957244655 trainACC:1.0 avg_loss:nan
dataset: HARround:87 server aggregation  testACC:0.9253478113335596 trainACC:1.0 avg_loss:nan
dataset: HARround:88 server aggregation  testACC:0.9250084832032576 trainACC:0.999829960891005 avg_loss:nan
dataset: HARround:89 server aggregation  testACC:0.9260264675941635 trainACC:0.999829960891005 avg_loss:nan
dataset: HARround:90 server aggregation  testACC:0.9236511706820495 trainACC:1.0 avg_loss:nan
dataset: HARround:91 server aggregation  testACC:0.9256871394638616 trainACC:1.0 avg_loss:nan
dataset: HARround:92 server aggregation  testACC:0.9270444519850696 trainACC:1.0 avg_loss:nan
dataset: HARround:93 server aggregation  testACC:0.9263657957244655 trainACC:0.999829960891005 avg_loss:nan
