Details of Training:-----------------------
dataset: SpokenArabicDigits
local train epochs: 3
round num: 200
batch size: 8
lr: 0.05
use_client_selection: False
server_device: cuda:0
client_workers: 3
client_worker_devices: ['cuda:0', 'cuda:0', 'cuda:0']
client_groups: [[0], [1], [2]]
-------------------------------------------
har_scaffold_dir0.05
PID: 1681576
PPID: 1681571
ablation:  UseACF: false  UseDistribution: false  UseJointCL: false  UseJointKD: false  UseMTLHomo: false  UseProdictor: false  UseScaleCL: false  UseScaleKD: falsealgo: scaffolddataset: CharacterTrajectoriesdescription: har_scaffold_dir0.05federated:  auto_resume: true  checkpoint_every: 30  client_selection_ratio: 0.6  dirichlet_alpha: 1  numClient: 3  numEpoch: 3  numRound: 200  use_client_selection: falselogPath: ./result/model:  name: ''  params:    batch_size: 8    beta: 0.4    dist_measure: mix    gamma: 0.5    l: 0.01    lr: 0.05    ls: 1    momentum: 0.0    wd: 0scaffold:  global_lr: 1.0
dataset: SpokenArabicDigitsround:49 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:50 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:51 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:52 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:53 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:54 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:55 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:56 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:57 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:58 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:59 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:60 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:61 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:62 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:63 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:64 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:65 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:66 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:67 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:68 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:69 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:70 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:71 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:72 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:73 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:74 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:75 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:76 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:77 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:78 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:79 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:80 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:81 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:82 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:83 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:84 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:85 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:86 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:87 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:88 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:89 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:90 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:91 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:92 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:93 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:94 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:95 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:96 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:97 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:98 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:99 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:100 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:101 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:102 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:103 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:104 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:105 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:106 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:107 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:108 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:109 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:110 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:111 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:112 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:113 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:114 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:115 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:116 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:117 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:118 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:119 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:120 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:121 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:122 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:123 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:124 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:125 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:126 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:127 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:128 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:129 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:130 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:131 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:132 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:133 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:134 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:135 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:136 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:137 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
