Details of Training:-----------------------
dataset: ERing
local train epochs:3
round num:1000
batch size:8
lr:0.05
isAllocateMat:False
isEMA:False
-------------------------------------------
ACFSTFT+allscale
PID:886605
PPID:885439
ablation:  UseACF: true  UseJointCL: true  UseJointKD: true  UseMTLHomo: false  UseProdictor: false  UseScaleCL: true  UseScaleKD: truedataset: ERingdescription: ACFSTFT+allscalefederated:  dirichlet_alpha: 1  numClient: 3  numEpoch: 3  numRound: 1000logPath: ./result/model:  name: ''  params:    batch_size: 8    dist_measure: cosine    l: 1    lr: 0.05    ls: 1    wd: 0
dataset: ERinground:0 server aggregation  testACC:0.9444444444444444trainACC:1.0 avg_loss:nan
dataset: ERinground:1 server aggregation  testACC:0.9407407407407408trainACC:1.0 avg_loss:nan
dataset: ERinground:2 server aggregation  testACC:0.937037037037037trainACC:1.0 avg_loss:nan
dataset: ERinground:3 server aggregation  testACC:0.9333333333333333trainACC:1.0 avg_loss:nan
dataset: ERinground:4 server aggregation  testACC:0.9333333333333333trainACC:1.0 avg_loss:nan
dataset: ERinground:5 server aggregation  testACC:0.9333333333333333trainACC:1.0 avg_loss:nan
dataset: ERinground:6 server aggregation  testACC:0.9333333333333333trainACC:1.0 avg_loss:nan
dataset: ERinground:7 server aggregation  testACC:0.937037037037037trainACC:1.0 avg_loss:nan
dataset: ERinground:8 server aggregation  testACC:0.937037037037037trainACC:1.0 avg_loss:nan
dataset: ERinground:9 server aggregation  testACC:0.9333333333333333trainACC:1.0 avg_loss:nan
dataset: ERinground:10 server aggregation  testACC:0.937037037037037trainACC:1.0 avg_loss:nan
dataset: ERinground:11 server aggregation  testACC:0.937037037037037trainACC:1.0 avg_loss:nan
